Imdb Rank,Title,Total Episode,Type,Mean Episode Rating,Mean Episode Rating Count,Global Rating,Global Rating Count,Duration (min),Genres,Start Year,End Year,url
179.0,The Venture Bros.,86,TV Series,8.3,291.8,8.6,27872.0,22.0,"Animation ,Action ,Adventure",2003,2018.0,https://www.imdb.com/title/tt0417373
180.0,The Queen's Gambit,7,TV Mini Series,8.5,10987.3,8.5,540924.0,397.0,Drama,2020,2020.0,https://www.imdb.com/title/tt10048342
181.0,Dragon Ball,203,TV Series,7.4,432.4,8.5,64850.0,25.0,"Animation ,Action ,Adventure",1986,1989.0,https://www.imdb.com/title/tt0088509
182.0,Battlestar Galactica,76,TV Mini Series,8.4,1418.0,8.5,79734.0,183.0,"Action ,Adventure ,Drama",2003,2003.0,https://www.imdb.com/title/tt0314979
183.0,Making a Murderer,20,TV Series,8.3,1234.1,8.5,102152.0,60.0,"Documentary ,Crime",2015,2018.0,https://www.imdb.com/title/tt5189670
184.0,The Family Man,20,TV Series,8.7,2747.0,8.7,97614.0,45.0,"Action ,Comedy ,Drama",2019,2050.0,https://www.imdb.com/title/tt9544034
185.0,Flight of the Conchords,22,TV Series,8.2,704.8,8.6,65607.0,28.0,"Comedy ,Music ,Musical",2007,2009.0,https://www.imdb.com/title/tt0863046
186.0,Dragon Ball,203,TV Series,7.6,346.7,8.5,64469.0,24.0,"Animation ,Action ,Adventure",1995,2003.0,https://www.imdb.com/title/tt0280249
187.0,Jujutsu Kaisen,48,TV Series,8.8,5672.0,8.6,106564.0,24.0,"Animation ,Action ,Adventure",2020,2050.0,https://www.imdb.com/title/tt12343534
188.0,Coupling,28,TV Series,8.4,585.8,8.6,47458.0,30.0,"Comedy ,Romance",2000,2004.0,https://www.imdb.com/title/tt0237123
189.0,Black Sun,20,TV Series,8.9,200.3,8.9,12312.0,60.0,"Crime ,Drama ,Thriller",2017,2050.0,https://www.imdb.com/title/tt6108262
190.0,"Yes, Prime Minister",16,TV Series,8.4,283.3,8.6,12748.0,30.0,Comedy,1986,1987.0,https://www.imdb.com/title/tt0086831
191.0,Rocket Boys,17,TV Series,8.6,195.2,8.9,17796.0,45.0,"Drama ,History",2022,2050.0,https://www.imdb.com/title/tt13868972
192.0,Impractical Jokers,282,TV Series,8.0,156.9,8.6,45217.0,30.0,"Comedy ,Reality-TV",2011,2050.0,https://www.imdb.com/title/tt2100976
193.0,Samurai Champloo,26,TV Series,8.1,631.7,8.6,54591.0,24.0,"Animation ,Action ,Adventure",2004,2005.0,https://www.imdb.com/title/tt0423731
194.0,The Eric Andre Show,69,TV Series,8.3,196.7,8.6,21623.0,11.0,"Comedy ,Talk-Show",2012,2050.0,https://www.imdb.com/title/tt2244495
195.0,Endeavour,36,TV Series,8.3,1284.6,8.6,32912.0,89.0,"Crime ,Drama ,Mystery",2012,2023.0,https://www.imdb.com/title/tt2701582
196.0,Spaced,14,TV Series,8.2,974.3,8.5,57335.0,25.0,Comedy,1999,2001.0,https://www.imdb.com/title/tt0187664
197.0,The IT Crowd,25,TV Series,8.1,2537.5,8.5,163092.0,25.0,Comedy,2006,2013.0,https://www.imdb.com/title/tt0487831
198.0,Mr. Robot,45,TV Series,8.9,10334.1,8.5,414751.0,49.0,"Crime ,Drama ,Thriller",2015,2019.0,https://www.imdb.com/title/tt4158110
199.0,Ezel,71,TV Series,8.6,242.2,8.7,36708.0,90.0,"Crime ,Drama ,Thriller",2009,2011.0,https://www.imdb.com/title/tt1534360
200.0,I'm Alan Partridge,12,TV Series,8.5,324.9,8.6,21809.0,29.0,Comedy,1997,2002.0,https://www.imdb.com/title/tt0129690
201.0,Long Way Round,10,TV Mini Series,7.6,165.1,8.6,15156.0,315.0,"Documentary ,Adventure",2004,2010.0,https://www.imdb.com/title/tt0403778
202.0,Formula 1: Drive to Survive,51,TV Series,7.6,803.4,8.5,49359.0,40.0,"Documentary ,Sport",2019,2050.0,https://www.imdb.com/title/tt8289930
203.0,Samurai Jack,62,TV Series,8.5,789.6,8.5,58920.0,23.0,"Animation ,Action ,Adventure",2001,2017.0,https://www.imdb.com/title/tt0278238
204.0,Mob Psycho 100,37,TV Series,8.5,1127.9,8.6,43493.0,24.0,"Animation ,Action ,Comedy",2016,2022.0,https://www.imdb.com/title/tt5897304
205.0,Detectorists,20,TV Series,8.1,443.2,8.6,20770.0,30.0,Comedy,2014,2022.0,https://www.imdb.com/title/tt4082744
206.0,Louie,61,TV Series,8.2,831.7,8.5,81857.0,22.0,"Comedy ,Drama",2010,2015.0,https://www.imdb.com/title/tt1492966
207.0,Heartstopper,24,TV Series,8.8,1590.5,8.6,74917.0,30.0,"Drama ,Romance",2022,2050.0,https://www.imdb.com/title/tt10638036
208.0,Whose Line Is It Anyway?,220,TV Series,7.8,54.6,8.5,46123.0,30.0,"Comedy ,Game-Show",1998,2007.0,https://www.imdb.com/title/tt0163507
209.0,Spartacus,33,TV Series,8.6,3499.2,8.5,255127.0,55.0,"Action ,Adventure ,Biography",2010,2013.0,https://www.imdb.com/title/tt1442449
210.0,The Office,202,TV Series,8.3,2066.6,8.5,122113.0,455.0,"Comedy ,Drama",2001,2003.0,https://www.imdb.com/title/tt0290978
211.0,Happy Valley,18,TV Series,8.4,1126.9,8.5,63419.0,1059.0,"Crime ,Drama ,Thriller",2014,2023.0,https://www.imdb.com/title/tt3428912
212.0,Through the Wormhole,62,TV Series,7.6,116.2,8.6,18351.0,60.0,Documentary,2010,2017.0,https://www.imdb.com/title/tt1513168
